threshold,precision,recall,f1,true_positives,false_positives,true_negatives,false_negatives,fp_cost,fn_cost,total_cost
0.1,0.009349677955537088,0.9183673469387755,0.01851090086384204,45,4768,23664,4,476800,10000,486800
0.2,0.018105263157894735,0.8775510204081632,0.03547854785478548,43,2332,26100,6,233200,15000,248200
0.3,0.029411764705882353,0.8775510204081632,0.056915949702183985,43,1419,27013,6,141900,15000,156900
0.4,0.04365482233502538,0.8775510204081632,0.08317214700193423,43,942,27490,6,94200,15000,109200
0.5,0.06017191977077364,0.8571428571428571,0.11244979919678715,42,656,27776,7,65600,17500,83100
0.6,0.08723404255319149,0.8367346938775511,0.1579961464354528,41,429,28003,8,42900,20000,62900
0.7,0.11560693641618497,0.8163265306122449,0.20253164556962025,40,306,28126,9,30600,22500,53100
0.8,0.15384615384615385,0.8163265306122449,0.2588996763754045,40,220,28212,9,22000,22500,44500
0.9,0.2087912087912088,0.7755102040816326,0.329004329004329,38,144,28288,11,14400,27500,41900
