threshold,precision,recall,f1,alerts,true_positives,false_positives,true_negatives,false_negatives,fp_cost,fn_cost,total_cost
0.1,0.17699115044247787,0.8163265306122449,0.2909090909090909,226,40,186,28246,9,18600,22500,41100
0.2,0.5131578947368421,0.7959183673469388,0.624,76,39,37,28395,10,3700,25000,28700
0.3,0.7115384615384616,0.7551020408163265,0.7326732673267327,52,37,15,28417,12,1500,30000,31500
0.4,0.8043478260869565,0.7551020408163265,0.7789473684210526,46,37,9,28423,12,900,30000,30900
0.5,0.8409090909090909,0.7551020408163265,0.7956989247311828,44,37,7,28425,12,700,30000,30700
0.6,0.875,0.7142857142857143,0.7865168539325843,40,35,5,28427,14,500,35000,35500
0.7,0.8974358974358975,0.7142857142857143,0.7954545454545454,39,35,4,28428,14,400,35000,35400
0.8,0.9411764705882353,0.6530612244897959,0.7710843373493976,34,32,2,28430,17,200,42500,42700
0.9,0.967741935483871,0.6122448979591837,0.75,31,30,1,28431,19,100,47500,47600
